id,name,email,age,city,salary,active,created_at,col_0,col_1,col_2,col_3
1,Phtsdoug,user0@example.com,57,Phoenix,173686.14,true,2024-08-11,651.52,86.5,416.67,690.86
2,Zyoxmrse,user1@example.com,50,San Antonio,159975.68,false,2024-12-17,556.67,624.46,359.93,764.8
3,Qbfumyip,user2@example.com,20,Chicago,160917.6,false,2024-06-16,426.91,863.1,253.89,171.79
4,Udtjtucw,user3@example.com,48,Phoenix,166199.6,false,2024-11-23,872.98,418.0,256.6,84.84
5,Yugjtnro,user4@example.com,52,Houston,36538.09,true,2024-05-14,715.12,437.94,94.86,339.33
6,Jgknqkcc,user5@example.com,24,San Diego,151417.41,true,2024-02-04,758.02,23.96,998.35,121.43
7,Darhidfz,user6@example.com,71,Chicago,57149.18,false,2024-10-09,976.2,630.33,149.65,553.55
8,Urdnqpud,user7@example.com,73,Los Angeles,51818.91,true,2024-12-16,519.02,613.94,397.16,606.83
9,Pxiqujup,user8@example.com,22,New York,196813.92,true,2024-04-12,477.72,137.6,217.95,252.36
10,Ymgzwuiv,user9@example.com,70,Phoenix,168250.78,true,2024-02-11,967.73,507.7,374.34,346.02
11,Klophabz,user10@example.com,24,Chicago,54834.31,true,2024-02-28,493.0,512.11,850.44,439.35
12,Gmdvobsg,user11@example.com,61,Chicago,43455.63,false,2024-07-22,493.26,335.81,627.73,10.77
13,Wbhlduky,user12@example.com,67,Chicago,150285.36,true,2024-04-22,725.71,922.43,158.71,44.9
14,Acljhhlq,user13@example.com,36,Los Angeles,107297.98,true,2024-10-07,28.45,857.14,349.22,724.39
15,Jzgabclj,user14@example.com,72,Houston,180310.28,false,2024-12-14,856.58,338.37,341.49,358.8
16,Fwhgumds,user15@example.com,66,San Diego,162332.95,false,2024-08-02,497.01,204.67,857.55,366.08
17,Ooygxuoj,user16@example.com,68,Houston,47569.63,false,2024-10-03,105.34,91.19,238.5,102.54
18,Pebovcle,user17@example.com,58,Los Angeles,108316.23,true,2024-10-22,958.29,353.55,761.26,157.86
19,Hovablmf,user18@example.com,39,Philadelphia,36681.67,true,2024-05-02,147.41,139.98,897.85,310.37
20,Lzvfkaga,user19@example.com,74,San Diego,170222.93,false,2024-07-01,628.95,382.26,253.82,228.95
21,Hhdeukyf,user20@example.com,45,Houston,193183.43,true,2024-12-11,850.51,319.75,616.42,353.47
22,Liomghav,user21@example.com,20,Phoenix,69521.56,true,2024-02-16,56.12,649.14,809.98,696.36
23,Sdegyiea,user22@example.com,65,Los Angeles,131817.38,true,2024-02-16,676.47,816.23,587.42,169.26
24,Xvpfgvum,user23@example.com,52,Los Angeles,40475.9,false,2024-01-07,250.01,983.15,897.25,961.35
25,Umqbyemw,user24@example.com,52,Philadelphia,107266.25,false,2024-06-19,376.32,758.19,491.34,790.16
26,Mmnufxui,user25@example.com,26,San Diego,45323.78,true,2024-08-02,517.18,760.42,534.12,609.59
27,Vnmhnwsg,user26@example.com,69,New York,122018.36,true,2024-05-19,37.52,621.36,743.86,772.95
28,Jmyqaoni,user27@example.com,66,Phoenix,73019.66,false,2024-10-24,899.75,294.09,958.87,980.42
29,Zbarmpiz,user28@example.com,20,Los Angeles,162876.43,true,2024-03-14,282.21,514.07,230.39,660.66
30,Tryzrzyd,user29@example.com,52,New York,198601.92,true,2024-09-11,245.49,678.95,217.77,18.71
31,Nwvjhumc,user30@example.com,20,San Diego,105694.59,false,2024-02-04,494.29,898.26,469.76,390.2
32,Vhkqalnp,user31@example.com,36,New York,166246.23,true,2024-11-20,740.25,324.92,678.07,568.33
33,Uqczdchi,user32@example.com,42,Chicago,45648.11,true,2024-01-22,421.13,240.82,882.73,710.68
34,Qcvcmnoi,user33@example.com,34,Phoenix,86304.41,false,2024-04-19,345.27,71.21,246.28,105.76
35,Brgkjwfu,user34@example.com,33,Phoenix,108222.33,true,2024-11-05,402.53,692.12,452.46,237.92
36,Xyiufkqs,user35@example.com,18,San Antonio,70898.58,true,2024-01-04,406.23,848.18,257.22,603.61
37,Kzitcdwx,user36@example.com,37,Chicago,130831.06,false,2024-05-19,632.35,984.24,64.2,258.74
38,Ygebrfcm,user37@example.com,37,San Diego,141164.54,true,2024-11-02,719.44,772.49,582.62,803.3
39,Wywjfsxk,user38@example.com,32,San Diego,37926.26,true,2024-06-14,377.27,463.07,252.66,744.04
40,Pjkcnvoo,user39@example.com,47,San Diego,30424.25,true,2024-09-25,483.29,340.23,554.72,253.45
41,Ftuewlqa,user40@example.com,27,Phoenix,133961.35,true,2024-01-05,594.63,461.82,100.56,253.85
42,Tkefkgil,user41@example.com,48,Chicago,85723.06,true,2024-06-01,844.43,154.12,222.43,216.57
43,Rfyofcgl,user42@example.com,18,Philadelphia,155645.01,false,2024-05-09,498.62,833.0,942.74,244.92
44,Stxtmmwq,user43@example.com,49,Phoenix,141345.27,false,2024-10-17,447.08,605.91,269.32,647.87
45,Vrjzdjys,user44@example.com,67,Houston,167946.13,true,2024-07-25,729.36,904.76,65.55,523.96
46,Vgwxlxhl,user45@example.com,62,Philadelphia,173350.27,true,2024-05-08,951.63,206.27,518.74,274.25
47,Hhiwurbe,user46@example.com,59,Houston,69568.95,false,2024-11-16,971.1,67.64,469.39,194.74
48,Thjiarjj,user47@example.com,61,San Diego,38223.28,true,2024-01-12,605.45,497.64,911.61,212.99
49,Ysvlpwrp,user48@example.com,49,Los Angeles,64363.26,false,2024-06-15,544.42,330.49,65.55,577.88
50,Jqpcyxlz,user49@example.com,51,Phoenix,194753.56,true,2024-11-06,47.92,75.42,533.05,946.2
51,Zetftylz,user50@example.com,75,Philadelphia,120646.87,true,2024-09-10,118.61,627.97,477.86,537.05
52,Csfhcrmn,user51@example.com,28,Houston,115748.6,true,2024-07-17,306.51,427.28,863.74,737.15
53,Osjxjfza,user52@example.com,41,Los Angeles,196331.41,false,2024-06-08,581.87,588.85,964.09,653.23
54,Iidnjdsn,user53@example.com,50,Houston,35710.75,false,2024-05-26,450.14,293.64,875.14,556.03
55,Grlkwrpw,user54@example.com,25,Phoenix,164341.69,false,2024-09-24,369.12,323.5,147.16,189.14
56,Ssmkzjan,user55@example.com,30,San Antonio,199761.13,false,2024-08-21,670.87,785.66,265.65,525.86
57,Ypriupyu,user56@example.com,19,Los Angeles,182450.08,false,2024-10-09,921.41,637.38,760.76,498.95
58,Rqaumvcz,user57@example.com,34,Philadelphia,179868.21,true,2024-11-03,841.8,571.13,848.48,503.17
59,Ybxrovea,user58@example.com,18,San Diego,168928.28,false,2024-10-17,900.88,852.07,593.31,80.1
60,Pbzitwpn,user59@example.com,37,Los Angeles,97877.52,true,2024-04-26,448.34,890.7,686.21,723.6
